,Data Extraction Template - Private Equity Funds,
,,
,,
#,Tab,Description
1,Executive Portfolio Summary,
2,Schedule of Investments,"The schedule of investments allows
the General Partner the opportunity
to provide Limited Partners the
highest levels of transparency."
3,Statement of Operations,
4,Statements of Cashflows,
5,PCAP Statements,
6,Portfolio Companies Profile,
7,Portfolio Companies Financials,
8,FootNotes,"To fully support the balance sheet and other reporting schedules, a complete and
detailed set of footnote disclosures is required."
9,Reference Values,
10,,
11,,
12,,
